"","BH105","BH106","BH101","BH103","count"
"858",7,2,1,6,1
"859",7,2,1,7,6
"860",7,2,2,0,7
"861",7,2,2,1,1
"862",7,2,2,2,3
"863",7,2,2,3,5
"864",7,2,2,4,4
"865",7,2,2,5,1
"866",7,2,2,7,14
"867",7,2,3,0,4
"868",7,2,3,2,3
"869",7,2,3,3,3
"870",7,2,3,4,4
"871",7,2,3,5,2
"872",7,2,3,7,7
"873",7,2,4,0,5
"874",7,2,4,1,1
"875",7,2,4,3,1
"876",7,2,4,5,1
"877",7,2,4,6,5
"878",7,2,4,7,2
"879",7,2,5,0,3
"880",7,2,5,2,1
"881",7,2,5,4,2
"882",7,2,5,5,4
"883",7,2,5,6,2
"884",7,2,5,7,9
"885",7,2,6,3,2
"886",7,2,6,4,2
"887",7,2,6,5,1
"888",7,2,6,7,1
"889",7,2,7,0,8
"890",7,2,7,1,1
"891",7,2,7,2,5
"892",7,2,7,3,1
"893",7,2,7,5,3
"894",7,2,7,7,37
"895",7,3,0,0,56
"896",7,3,0,1,5
"897",7,3,0,2,8
"898",7,3,0,3,7
"899",7,3,0,5,4
"900",7,3,0,6,11
"901",7,3,0,7,50
"902",7,3,1,0,3
"903",7,3,1,1,1
"904",7,3,1,5,1
"905",7,3,1,7,9
"906",7,3,2,0,1
"907",7,3,2,1,2
"908",7,3,2,2,2
"909",7,3,2,3,1
"910",7,3,2,4,1
"911",7,3,2,5,1
"912",7,3,2,6,1
"913",7,3,2,7,4
"914",7,3,3,2,3
"915",7,3,3,3,2
"916",7,3,3,4,1
"917",7,3,3,7,2
"918",7,3,4,0,1
"919",7,3,4,2,1
"920",7,3,4,3,1
"921",7,3,4,7,6
"922",7,3,5,0,1
"923",7,3,5,1,1
"924",7,3,5,3,1
"925",7,3,5,4,1
"926",7,3,5,5,6
"927",7,3,5,6,1
"928",7,3,5,7,1
"929",7,3,6,0,1
"930",7,3,6,2,1
"931",7,3,6,6,1
"932",7,3,6,7,1
"933",7,3,7,0,1
"934",7,3,7,1,1
"935",7,3,7,5,1
"936",7,3,7,7,23
"937",7,4,0,0,55
"938",7,4,0,1,4
"939",7,4,0,2,2
"940",7,4,0,3,9
"941",7,4,0,4,2
"942",7,4,0,5,7
"943",7,4,0,6,4
"944",7,4,0,7,37
"945",7,4,1,0,2
"946",7,4,1,1,3
"947",7,4,1,2,2
"948",7,4,1,4,1
"949",7,4,1,5,1
"950",7,4,1,6,2
"951",7,4,1,7,2
"952",7,4,2,0,1
"953",7,4,2,1,1
"954",7,4,2,2,2
"955",7,4,2,3,1
"956",7,4,2,6,2
"957",7,4,2,7,2
"958",7,4,3,3,3
"959",7,4,3,4,1
"960",7,4,3,5,1
"961",7,4,3,7,4
"962",7,4,4,0,2
"963",7,4,4,2,1
"964",7,4,4,4,1
"965",7,4,4,6,1
"966",7,4,4,7,1
"967",7,4,5,2,2
"968",7,4,5,4,1
"969",7,4,5,5,2
"970",7,4,5,6,1
"971",7,4,5,7,1
"972",7,4,6,0,1
"973",7,4,6,5,1
"974",7,4,6,6,4
"975",7,4,7,1,1
"976",7,4,7,2,2
"977",7,4,7,7,10
"978",7,5,0,0,48
"979",7,5,0,1,2
"980",7,5,0,2,6
"981",7,5,0,3,7
"982",7,5,0,4,7
"983",7,5,0,5,5
"984",7,5,0,6,1
"985",7,5,0,7,23
"986",7,5,1,0,2
"987",7,5,1,2,1
"988",7,5,1,5,1
"989",7,5,1,7,4
"990",7,5,2,0,1
"991",7,5,2,1,1
"992",7,5,2,2,1
"993",7,5,2,3,1
"994",7,5,2,7,4
"995",7,5,3,0,3
"996",7,5,3,1,1
"997",7,5,3,2,1
"998",7,5,3,3,2
"999",7,5,3,5,2
"1000",7,5,3,7,2
"1001",7,5,4,3,1
"1002",7,5,4,4,1
"1003",7,5,4,7,1
"1004",7,5,5,0,2
"1005",7,5,5,5,2
"1006",7,5,5,7,5
"1007",7,5,6,0,1
"1008",7,5,6,2,1
"1009",7,5,7,0,1
"1010",7,5,7,2,1
"1011",7,5,7,4,1
"1012",7,5,7,7,18
"1013",7,5,7,NA,1
"1014",7,NA,0,0,7
"1015",7,NA,0,2,2
"1016",7,NA,0,7,3
"1017",7,NA,3,0,1
"1018",7,NA,5,5,2
"1019",7,NA,6,5,1
"1020",7,NA,NA,7,1
"1021",NA,-1,0,0,2
"1022",NA,-1,0,7,1
"1023",NA,-1,0,NA,1
"1024",NA,-1,2,NA,1
"1025",NA,-1,6,0,1
"1026",NA,-1,6,1,1
"1027",NA,-1,7,7,1
"1028",NA,-1,7,NA,2
"1029",NA,-1,NA,NA,4
